,full_text,hashtag,id,location,retweet_hashtags,retweet_mentions,user,user_mentions
662,"RT @WestmeadInst: The #Westmead Hub Open Day is fast approaching! If you're thinking about a future in #medicalresearch, come along to the…","['Westmead', 'medicalresearch']",1029576967270555648,Sydney,"['Westmead', 'medicalresearch']",[],Sydney Science,['Westmead Institute']
663,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1029478822347862016,"Perth, Western Australia",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",Marji Puotinen,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
664,RT @Sydney_Vital: New research led by @WestmeadInst and Prof Anna DeFazio has found that targeting gene mutations can help treat patients w…,[],1029466295777943552,,['OvarianCancer'],['Westmead Institute'],Alex Dobrovic,"['Sydney Vital', 'Westmead Institute']"
665,"RT @StemCellsAus: Listen to leading Aussie researchers from @ARMI_Labs @CurtinUni, @WestmeadInst @westernsydneyu @MCRI_for_kids &amp; @unimelb…",[],1029465030540984320,Australia,"['stemcell', 'ISSCR2018']","['ARMI', 'Curtin University', 'Westmead Institute', 'Western Sydney Uni', ""Murdoch Children's"", 'University of Melbourne', 'Stem Cell Foundation', 'ASSCR', 'ISSCR']",CCRM_au,"['Stem Cells Australia', 'ARMI', 'Curtin University', 'Westmead Institute', 'Western Sydney Uni', ""Murdoch Children's"", 'University of Melbourne']"
666,RT @Sydney_Vital: New research led by @WestmeadInst and Prof Anna DeFazio has found that targeting gene mutations can help treat patients w…,[],1029364643784007683,,['OvarianCancer'],['Westmead Institute'],Anna DeFazio-Poidevin,"['Sydney Vital', 'Westmead Institute']"
667,RT @USyd_Westmead: Fascinating conversation happening around the future of cancer research @WestmeadInst @WestSydHealth @syd_health @CMRI_A…,[],1029310614374506496,"Sydney, New South Wales",['westmead'],"['Westmead Institute', 'West Sydney Health', 'Sydney_Health', 'CMRI', 'Sydney Science Fest']",Dr. Khairul,"['USyd Westmead', 'Westmead Institute', 'West Sydney Health', 'Sydney_Health']"
668,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1029278662074413057,"Sydney, Australia",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",Dr Jodie Ingles,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
669,RT @Sydney_Vital: New research led by @WestmeadInst and Prof Anna DeFazio has found that targeting gene mutations can help treat patients w…,[],1029241737800081415,"Westmead, Sydney",['OvarianCancer'],['Westmead Institute'],Westmead Institute,"['Sydney Vital', 'Westmead Institute']"
670,"Postdoctoral researcher, Naomi Truong, was recently awarded for her presentation at the 43rd annual International Herpesvirus Workshop in Vancouver. Read about her research into the #herpes simplex virus (#HSV): https://t.co/ecTVU1zmZr https://t.co/k3EUAS2ItA","['herpes', 'HSV']",1029231212945178624,"Westmead, Sydney",,,Westmead Institute,[]
671,New research led by @WestmeadInst and Prof Anna DeFazio has found that targeting gene mutations can help treat patients with #OvarianCancer https://t.co/QQuoYVdQtk https://t.co/QkhtpYkIf4,['OvarianCancer'],1029225101298827264,Royal North Shore Hospital,,,Sydney Vital,['Westmead Institute']
